Date,Open,High,Low,Close,Volume
2025-08-01,520.0,520.84,519.43,520.21,54414642
2025-08-04,520.21,522.28,518.17,518.29,93453766
2025-08-05,518.29,519.58,515.19,516.2,76245522
2025-08-06,516.2,518.82,516.14,516.9,82167805
2025-08-07,516.9,517.85,506.97,510.85,50566910
2025-08-08,510.85,511.33,500.04,502.59,74747126
2025-08-11,502.59,503.88,497.53,503.5,60572874
2025-08-12,503.5,503.73,500.4,503.48,61639317
2025-08-13,503.48,505.11,497.13,499.25,55868143
2025-08-14,499.25,501.07,498.08,499.3,68045215
2025-08-15,499.3,500.13,496.86,500.0,71332454
2025-08-18,500.0,509.45,498.28,506.31,72088695
2025-08-19,506.31,510.37,502.06,503.59,49012444
2025-08-20,503.59,505.3,503.21,504.13,81950929
2025-08-21,504.13,505.48,501.13,504.03,58175910
2025-08-22,504.03,506.09,503.78,505.16,49224095
2025-08-25,505.16,505.55,500.92,502.72,90041385
2025-08-26,502.72,504.32,495.65,496.94,62867346
2025-08-27,496.94,497.13,492.57,495.06,82064568
2025-08-28,495.06,495.79,493.31,493.8,96661764
2025-08-29,493.8,494.4,491.41,492.1,67886517
2025-09-01,492.1,494.29,491.4,491.42,62237328
2025-09-02,491.42,498.07,491.38,496.78,81696667
2025-09-03,496.78,498.87,495.45,495.46,80209191
2025-09-04,495.46,496.14,486.59,489.9,63618256
2025-09-05,489.9,491.66,488.43,488.75,109283240
2025-09-08,488.75,489.97,484.89,485.29,78627732
2025-09-09,485.29,485.69,483.35,484.71,79098383
2025-09-10,484.71,484.87,480.33,480.4,51546519
2025-09-11,480.4,483.37,478.53,481.71,73373053
2025-09-12,481.71,483.43,481.48,482.29,62960560
2025-09-15,482.29,482.99,473.51,477.57,84815649
2025-09-16,477.57,479.02,468.67,470.26,83632343
2025-09-17,470.26,473.9,467.91,471.0,95229875
2025-09-18,471.0,471.52,470.61,470.91,52934834
2025-09-19,470.91,476.79,470.82,475.76,56117312
2025-09-22,475.76,478.19,470.89,473.27,67303467
2025-09-23,473.27,477.59,471.95,477.57,64283007
2025-09-24,477.57,477.58,474.64,475.35,64751369
2025-09-25,475.35,476.89,466.54,469.64,58253418
2025-09-26,469.64,470.28,462.76,465.38,53445425
2025-09-29,465.38,466.55,461.42,464.69,82861217
2025-09-30,464.69,464.91,463.29,464.78,77958722
2025-10-01,464.78,465.04,460.66,462.71,49281798
2025-10-02,462.71,469.4,462.17,468.45,69408667
2025-10-03,468.45,469.41,465.61,466.78,64717316
2025-10-06,466.78,466.82,464.14,466.33,81908942
2025-10-07,466.33,469.18,463.75,468.12,86616773
2025-10-08,468.12,472.65,467.11,472.38,83675253
2025-10-09,472.38,477.86,471.52,476.11,96512027
2025-10-10,476.11,477.75,470.02,470.96,85288334
2025-10-13,470.96,481.95,468.8,479.11,57551752
2025-10-14,479.11,484.78,479.08,482.82,84695230
2025-10-15,482.82,486.9,475.38,475.87,70776753
2025-10-16,475.87,475.95,473.37,475.01,54486152
2025-10-17,475.01,476.86,471.37,474.49,78849418
2025-10-20,474.49,475.26,472.54,474.41,58483971
2025-10-21,474.41,476.1,469.97,470.34,56297944
